                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.55029,                0.52751,                 1.0618,                0.82709,                0.72558,                0.79289,                0.57987,                0.96229,                 1.0257,                 1.3677,               0.004588,               0.004588,               0.004588
                     84,                0.55958,                0.52069,                 1.0635,                0.84865,                0.76279,                0.82085,                0.61877,                0.88291,                0.85571,                 1.2729,               0.004522,               0.004522,               0.004522
                     85,                0.55612,                 0.5219,                  1.047,                0.81814,                0.74419,                0.81281,                0.61622,                0.88487,                0.89644,                   1.33,               0.004456,               0.004456,               0.004456
                     86,                0.54484,                0.51986,                 1.0528,                0.84228,                0.76999,                0.80969,                0.61723,                0.90838,                0.94549,                 1.3436,                0.00439,                0.00439,                0.00439
                     87,                0.54562,                0.53769,                 1.0566,                0.86416,                0.72093,                0.80826,                0.60419,                0.90995,                0.92667,                 1.3316,               0.004324,               0.004324,               0.004324
                     88,                 0.5367,                0.51867,                 1.0384,                0.89971,                0.73488,                0.81302,                0.62396,                0.87845,                0.85992,                 1.3146,               0.004258,               0.004258,               0.004258
                     89,                0.53372,                0.51226,                 1.0308,                0.91406,                0.73488,                 0.8051,                0.60867,                0.91258,                0.91902,                 1.3484,               0.004192,               0.004192,               0.004192
                     90,                0.53165,                0.51246,                 1.0572,                0.84012,                0.72093,                0.79032,                0.60439,                0.89454,                0.94248,                  1.303,               0.004126,               0.004126,               0.004126
                     91,                0.51834,                0.48913,                 1.0365,                0.85944,                0.69302,                0.78436,                0.59501,                0.91186,                0.93355,                 1.3367,                0.00406,                0.00406,                0.00406
                     92,                0.53737,                0.50404,                 1.0342,                0.80395,                0.74387,                0.80113,                0.61255,                0.87957,                 0.8762,                 1.2884,               0.003994,               0.003994,               0.003994
                     93,                0.52174,                0.50354,                  1.031,                0.80023,                0.75349,                0.80034,                0.60992,                0.87333,                0.86226,                 1.3109,               0.003928,               0.003928,               0.003928
                     94,                  0.526,                0.49494,                 1.0495,                0.84309,                0.73488,                0.80877,                0.60807,                0.87685,                0.84424,                 1.2962,               0.003862,               0.003862,               0.003862
                     95,                0.52604,                0.49736,                 1.0394,                0.85345,                0.73134,                0.80061,                0.59851,                0.90137,                 0.9383,                 1.3357,               0.003796,               0.003796,               0.003796
                     96,                0.52216,                0.48893,                 1.0326,                0.85701,                0.72093,                0.80225,                0.59016,                0.92877,                0.91513,                  1.392,                0.00373,                0.00373,                0.00373
                     97,                0.52447,                0.49707,                 1.0456,                0.77576,                0.76744,                0.80106,                0.58962,                0.92343,                0.96456,                 1.3574,               0.003664,               0.003664,               0.003664
                     98,                0.49832,                0.46817,                 1.0307,                 0.8496,                0.73953,                0.81286,                0.62336,                0.85374,                0.90913,                 1.2614,               0.003598,               0.003598,               0.003598
                     99,                0.50108,                0.47039,                  1.027,                0.86445,                0.74157,                0.82481,                0.61936,                0.89895,                0.86368,                 1.2912,               0.003532,               0.003532,               0.003532
                    100,                0.50375,                 0.4803,                 1.0322,                0.87775,                0.72093,                0.81451,                0.61937,                0.91392,                0.85648,                 1.3498,               0.003466,               0.003466,               0.003466
                    101,                 0.5027,                0.46665,                 1.0327,                0.86627,                0.72558,                0.80854,                 0.6155,                0.90063,                0.87751,                 1.3436,                 0.0034,                 0.0034,                 0.0034
                    102,                0.50073,                  0.486,                 1.0273,                0.88531,                0.74884,                0.82179,                0.61991,                0.88002,                0.80816,                 1.3124,               0.003334,               0.003334,               0.003334
                    103,                0.49392,                0.46838,                 1.0133,                0.87263,                0.77674,                0.83404,                0.64444,                0.84877,                 0.8327,                  1.268,               0.003268,               0.003268,               0.003268
                    104,                0.50439,                0.47564,                 1.0296,                0.89592,                0.76069,                0.83695,                0.64746,                0.84537,                0.82567,                 1.2708,               0.003202,               0.003202,               0.003202
                    105,                0.49045,                0.45455,                 1.0136,                0.89648,                0.76534,                0.84691,                0.64669,                0.86966,                 0.8035,                  1.278,               0.003136,               0.003136,               0.003136
                    106,                0.47594,                0.45048,                 1.0109,                0.86656,                0.75511,                0.83801,                0.63761,                 0.9045,                0.84652,                 1.3167,                0.00307,                0.00307,                0.00307
                    107,                0.49878,                0.45821,                 1.0381,                0.85783,                0.76744,                0.83133,                 0.6362,                0.84554,                0.82773,                 1.2626,               0.003004,               0.003004,               0.003004
                    108,                 0.4985,                0.46766,                  1.018,                0.87734,                0.76744,                0.82667,                0.63943,                0.84691,                0.79615,                 1.2747,               0.002938,               0.002938,               0.002938
                    109,                0.47519,                0.45561,                 1.0137,                0.87144,                0.74884,                0.82974,                0.65023,                0.82742,                0.78538,                 1.2655,               0.002872,               0.002872,               0.002872
                    110,                0.48838,                0.45582,                 1.0219,                 0.8798,                0.76744,                0.82247,                0.64767,                0.87211,                0.83826,                 1.2908,               0.002806,               0.002806,               0.002806
                    111,                0.47569,                0.45267,                 1.0093,                0.88347,                0.74049,                0.81354,                0.63071,                0.87711,                0.83139,                 1.3034,                0.00274,                0.00274,                0.00274
                    112,                 0.4631,                0.44762,                0.99505,                0.90086,                0.73023,                0.81069,                 0.6335,                0.85065,                0.86158,                 1.2785,               0.002674,               0.002674,               0.002674
                    113,                0.45214,                0.44682,                0.99727,                0.87002,                0.75349,                0.80889,                 0.6299,                0.86226,                0.86864,                 1.2826,               0.002608,               0.002608,               0.002608
                    114,                0.49033,                0.45723,                 1.0065,                0.85203,                0.78605,                0.81609,                0.63445,                0.85442,                0.84545,                 1.2929,               0.002542,               0.002542,               0.002542
                    115,                0.48168,                 0.4445,                 1.0191,                0.86067,                0.76744,                0.82445,                0.65176,                 0.8596,                0.82579,                 1.3124,               0.002476,               0.002476,               0.002476
                    116,                0.46499,                0.43195,                0.99787,                0.86503,                0.74524,                0.82204,                0.64578,                0.83538,                0.85037,                 1.2696,                0.00241,                0.00241,                0.00241
                    117,                0.45812,                0.41052,                0.98497,                0.85433,                0.77674,                0.83527,                0.64734,                0.85946,                0.83628,                 1.2824,               0.002344,               0.002344,               0.002344
                    118,                0.45045,                 0.4215,                0.98518,                0.88677,                0.73488,                0.82528,                0.63474,                0.88576,                0.87868,                 1.3178,               0.002278,               0.002278,               0.002278
                    119,                0.45607,                0.43719,                 1.0034,                0.90063,                0.71661,                0.82291,                0.64461,                0.87532,                0.88691,                 1.2934,               0.002212,               0.002212,               0.002212
                    120,                0.45234,                 0.4335,                 1.0017,                0.91714,                0.72075,                0.82179,                0.63826,                0.88814,                0.86975,                 1.3461,               0.002146,               0.002146,               0.002146
                    121,                 0.4569,                0.43684,                 1.0019,                0.88353,                0.74094,                0.81321,                0.64058,                0.87698,                0.87497,                  1.337,                0.00208,                0.00208,                0.00208
